[2025-08-29T20:13:00.996Z] GET /src/components/Navbar.tsx -> 200 (83ms)
[2025-08-29T20:13:00.997Z] GET /src/contexts/AuthContext.tsx -> 200 (84ms)
[2025-08-29T20:13:00.997Z] GET /src/components/Sidebar.tsx -> 200 (84ms)
[2025-08-29T20:13:00.997Z] GET /src/pages/Dashboard.tsx -> 200 (83ms)
[2025-08-29T20:13:00.997Z] GET /src/components/CredentialSetupModal.tsx -> 200 (84ms)
[2025-08-29T20:13:00.997Z] GET /src/pages/Flows.ts -> 200 (83ms)
[2025-08-29T20:13:00.997Z] GET /src/pages/Configuration.tsx -> 200 (83ms)
[2025-08-29T20:13:00.997Z] GET /src/pages/Documentation.tsx -> 200 (83ms)
[2025-08-29T20:13:00.998Z] GET /src/pages/Login.tsx -> 200 (84ms)
[2025-08-29T20:13:00.998Z] GET /src/pages/Callback.tsx -> 200 (84ms)
[2025-08-29T20:13:01.005Z] GET /node_modules/.vite/deps/react-icons_fi.js?v=3d9986f6 -> 200 (3ms)
[2025-08-29T20:13:01.005Z] GET /src/config/pingone.ts -> 200 (2ms)
[2025-08-29T20:13:01.005Z] GET /src/components/Card.tsx -> 200 (2ms)
[2025-08-29T20:13:01.006Z] GET /src/utils/storage.ts -> 200 (3ms)
[2025-08-29T20:13:01.006Z] GET /src/utils/oauth.ts -> 200 (3ms)
[2025-08-29T20:13:01.007Z] GET /@id/__vite-browser-external:crypto -> 200 (0ms)
